order,foot_type,heel_to_fore,heel_to_distal_metatrasal,middle_foot_width,heel_to_apex1,heel_to_apex5,apex1_to_apex5,heel_width,heel_to_middle,arch_height,area_a,area_b,area_c
1,Normal,23.700,20.491,8.038,16.799,14.899,9.661,5.149,10.246,2.950,36,21,33
2,Normal,25.805,21.077,8.417,18.155,16.506,10.358,6.057,10.589,3.610,46,25,34
3,High,22.315,19.182,7.381,16.145,14.155,9.515,5.680,9.591,3.540,27,12,34
4,Normal,23.366,19.556,7.191,17.045,14.642,8.949,5.698,9.778,3.520,36,20,34
5,High,21.323,18.338,6.821,15.635,14.316,8.507,5.337,9.169,3.390,28,3,27
6,Flat,23.786,20.606,7.946,17.446,15.679,9.785,5.408,10.303,3.340,37,25,27
7,Flat,22.652,19.242,7.362,16.919,14.624,8.516,4.966,9.621,3.030,32,23,32
8,Flat,23.058,18.924,7.528,16.397,14.595,8.955,5.037,9.462,2.700,32,28,33
9,High,24.949,21.021,8.581,18.168,15.908,10.000,5.874,10.511,3.480,38,10,32
10,High,22.089,18.893,7.515,16.247,14.124,9.978,5.106,9.447,3.470,41,31,45
11,High,24.032,20.680,6.894,17.725,16.242,9.147,5.410,10.340,4.200,27,10,32
12,High,24.078,20.909,7.418,17.491,15.346,9.545,5.311,10.454,3.440,35,1,29
13,High,23.275,19.524,6.874,16.955,14.703,8.986,5.403,9.762,3.330,23,8,33
14,Normal,21.980,18.335,7.446,15.324,13.998,9.772,5.378,9.167,3.520,31,15,29
15,Flat,24.835,20.885,9.042,17.825,15.025,10.292,6.063,10.427,3.010,46,29,36
16,Normal,26.101,21.477,8.447,18.675,15.901,9.856,5.681,10.738,3.440,33,24,37
17,Flat,27.284,23.446,9.106,20.146,17.236,10.371,6.835,11.723,3.560,43,28,27
18,High,23.691,20.016,7.704,17.149,14.888,9.015,5.642,10.008,3.430,36,13,36
19,Normal,28.079,23.419,9.355,19.916,17.199,10.486,6.577,11.710,3.760,48,31,46
20,Flat,24.894,21.528,8.951,18.394,16.232,10.208,6.240,10.764,3.220,42,33,35
21,Flat,23.773,20.052,8.255,16.815,14.618,10.283,5.684,10.026,3.530,37,29,33
22,Flat,26.471,21.897,9.753,19.777,15.707,10.407,6.324,10.985,3.000,51,53,38
23,Flat,25.738,21.495,9.375,18.761,16.257,11.264,6.174,10.745,3.570,46,38,38
24,Normal,25.686,22.130,8.761,18.481,16.185,10.291,6.643,11.070,4.050,46,24,44
25,Flat,25.904,22.206,8.871,19.057,16.727,10.264,6.056,11.103,3.500,50,36,45
26,High,23.689,20.263,7.057,17.689,15.338,9.131,5.306,10.132,3.420,30,11,29
27,Normal,23.223,19.615,6.986,16.827,14.962,8.352,5.402,9.810,3.420,31,18,35
28,Normal,24.732,21.158,7.844,17.858,15.790,10.434,5.725,10.579,3.440,52,31,41
29,Normal,22.610,18.824,7.184,16.155,13.855,8.636,4.938,9.421,3.150,36,19,28
30,High,23.970,20.070,6.701,17.127,15.127,9.330,5.123,10.035,4.130,38,16,26
