train_neg_mean_squared_error,train_neg_mean_absolute_error,train_r2,train_neg_mean_absolute_percentage_error,model
0.0373 +/- 0.00493,0.162 +/- 0.014,-0.65 +/- 0.0568,0.0469 +/- 0.00398,linear regression
1.61e-26 +/- 1.64e-26,9.53e-14 +/- 5.66e-14,-1.0 +/- 0.0,2.79e-14 +/- 1.68e-14,polynomial regression
0.0 +/- 0.0,0.0 +/- 0.0,-1.0 +/- 0.0,0.0 +/- 0.0,Decision tree regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,ElasticNet regression
0.446 +/- 0.232,0.543 +/- 0.161,3.21 +/- 2.27,0.157 +/- 0.0452,NeuralNetwork regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,Lasso regression
0.0374 +/- 0.00495,0.162 +/- 0.0141,-0.649 +/- 0.0567,0.0468 +/- 0.00402,Ridge regression
0.00988 +/- 0.00131,0.0918 +/- 0.00492,-0.907 +/- 0.0297,0.027 +/- 0.00148,SVR regression
0.0373 +/- 0.00493,0.162 +/- 0.014,-0.65 +/- 0.0568,0.0469 +/- 0.00398,linear regression
1.61e-26 +/- 1.64e-26,9.53e-14 +/- 5.66e-14,-1.0 +/- 0.0,2.79e-14 +/- 1.68e-14,polynomial regression
0.0 +/- 0.0,0.0 +/- 0.0,-1.0 +/- 0.0,0.0 +/- 0.0,Decision tree regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,ElasticNet regression
0.442 +/- 0.291,0.544 +/- 0.188,3.15 +/- 2.63,0.158 +/- 0.0538,NeuralNetwork regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,Lasso regression
0.0374 +/- 0.00495,0.162 +/- 0.0141,-0.649 +/- 0.0567,0.0468 +/- 0.00402,Ridge regression
0.00988 +/- 0.00131,0.0918 +/- 0.00492,-0.907 +/- 0.0297,0.027 +/- 0.00148,SVR regression
0.0373 +/- 0.00493,0.162 +/- 0.014,-0.65 +/- 0.0568,0.0469 +/- 0.00398,linear regression
1.61e-26 +/- 1.64e-26,9.53e-14 +/- 5.66e-14,-1.0 +/- 0.0,2.79e-14 +/- 1.68e-14,polynomial regression
0.0 +/- 0.0,0.0 +/- 0.0,-1.0 +/- 0.0,0.0 +/- 0.0,Decision tree regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,ElasticNet regression
0.433 +/- 0.185,0.539 +/- 0.125,3.07 +/- 1.81,0.156 +/- 0.0347,NeuralNetwork regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,Lasso regression
0.0374 +/- 0.00495,0.162 +/- 0.0141,-0.649 +/- 0.0567,0.0468 +/- 0.00402,Ridge regression
0.00988 +/- 0.00131,0.0918 +/- 0.00492,-0.907 +/- 0.0297,0.027 +/- 0.00148,SVR regression
0.0373 +/- 0.00493,0.162 +/- 0.014,-0.65 +/- 0.0568,0.0469 +/- 0.00398,linear regression
1.61e-26 +/- 1.64e-26,9.53e-14 +/- 5.66e-14,-1.0 +/- 0.0,2.79e-14 +/- 1.68e-14,polynomial regression
0.0 +/- 0.0,0.0 +/- 0.0,-1.0 +/- 0.0,0.0 +/- 0.0,Decision tree regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,ElasticNet regression
0.46 +/- 0.222,0.558 +/- 0.147,3.33 +/- 2.33,0.162 +/- 0.0409,NeuralNetwork regression
0.107 +/- 0.0202,0.224 +/- 0.0279,0.0 +/- 0.0,0.0659 +/- 0.00814,Lasso regression
0.0374 +/- 0.00495,0.162 +/- 0.0141,-0.649 +/- 0.0567,0.0468 +/- 0.00402,Ridge regression
0.00988 +/- 0.00131,0.0918 +/- 0.00492,-0.907 +/- 0.0297,0.027 +/- 0.00148,SVR regression
0.0373 +/- 0.00493,0.162 +/- 0.014,-0.65 +/- 0.0568,0.0469 +/- 0.00398,linear regression
1.61e-26 +/- 1.64e-26,9.53e-14 +/- 5.66e-14,-1.0 +/- 0.0,2.79e-14 +/- 1.68e-14,polynomial regression
