train_neg_mean_squared_error,train_neg_mean_absolute_error,train_r2,train_neg_mean_absolute_percentage_error,model
0.03399338762904402,0.15763217782412206,-0.7118386183351653,0.045797325368129575,linear regression
0.04070740043487247,0.17119137283344066,-0.6493994639420055,0.049297548765733966,linear regression
0.03881900139156017,0.16646486317840545,-0.633195304788264,0.0481135916125392,linear regression
0.037077215754278976,0.16283671279122802,-0.6783076995286085,0.04706748241638394,linear regression
0.039138173090428774,0.1672986135422942,-0.6682376609896956,0.04846674298923078,linear regression
0.03396999739019732,0.15172576431168788,-0.621800550806396,0.04380340001665562,linear regression
0.0403851797069334,0.1701482157791371,-0.630213530109454,0.04905879933409697,linear regression
0.03617213364496549,0.1565454880167855,-0.6304433231965949,0.0456130311200977,linear regression
0.03523620817092374,0.15342185271673875,-0.6290616469142396,0.044024737377559776,linear regression
0.03785724766105685,0.16591165474236821,-0.6466711824337134,0.04759814994232646,linear regression
1.0494648030462663e-26,7.561543983551171e-14,-1.0,2.1927832810612145e-14,polynomial regression
1.987720350844055e-26,1.1195674017490849e-13,-1.0,3.329868933917304e-14,polynomial regression
2.4281824807344265e-26,1.2043144259621386e-13,-1.0,3.484872126732429e-14,polynomial regression
2.6752163275296604e-26,1.3246811055485827e-13,-1.0,3.936584808484009e-14,polynomial regression
7.421856958753101e-27,7.269468473892556e-14,-1.0,2.1292791295933055e-14,polynomial regression
2.2996792612992198e-26,1.285321055937467e-13,-1.0,3.747453538115667e-14,polynomial regression
9.379362972652061e-27,6.835348613651372e-14,-1.0,1.9485952059013966e-14,polynomial regression
4.019998949801445e-27,5.1469033117112357e-14,-1.0,1.4979066477868543e-14,polynomial regression
2.335473019913516e-26,1.0747865182881413e-13,-1.0,3.1272904175687607e-14,polynomial regression
1.2673147037588438e-26,8.388754543616693e-14,-1.0,2.5264619108115324e-14,polynomial regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.0,0.0,-1.0,0.0,Decision tree regression
0.11796649305555555,0.2371180555555555,-0.0,0.06980438275061533,ElasticNet regression
0.11610763888888886,0.23548611111111106,-0.0,0.06909771576851369,ElasticNet regression
0.10583016493055553,0.2214583333333333,-0.0,0.06574284240131377,ElasticNet regression
0.11525677083333331,0.23890624999999996,-0.0,0.07006257158952896,ElasticNet regression
0.11797051228654727,0.24229904206580588,-0.0,0.07128660612550344,ElasticNet regression
0.08982032486463974,0.2029820907955019,-0.0,0.059645427029485325,ElasticNet regression
0.10921216159933358,0.2236318200749687,-0.0,0.0654132360287401,ElasticNet regression
0.09787980008329862,0.21236151603498546,-0.0,0.06342956891210491,ElasticNet regression
0.09499208663057059,0.20688879633486043,-0.0,0.06048366123775552,ElasticNet regression
0.10714452311536858,0.21985839233652635,-0.0,0.06429675257243316,ElasticNet regression
0.31239620230757703,0.4516373805199351,1.6481774122119242,0.13131192564786007,NeuralNetwork regression
0.5703239850162901,0.6186132386286782,3.9120281014591223,0.17894066655010568,NeuralNetwork regression
0.45356449713922453,0.5718614210767434,3.285777098021609,0.16558384548562194,NeuralNetwork regression
0.5950037731217215,0.638208453095623,4.162419255890179,0.1848613729475731,NeuralNetwork regression
0.26062210618037374,0.39802596048044947,1.2092139902497792,0.11675402806531637,NeuralNetwork regression
0.49505829020951214,0.5833786520625197,4.511651076252181,0.16980453085026453,NeuralNetwork regression
0.585520328872689,0.6314861089562005,4.361310684617581,0.18033725146281532,NeuralNetwork regression
0.40785984766880606,0.5164514661609814,3.166946063658745,0.15046638759343622,NeuralNetwork regression
0.4226316452470757,0.5292079006641885,3.4491247664735827,0.15437543749873037,NeuralNetwork regression
0.3619615241935934,0.4892930511182742,2.378255030393377,0.14211601446098704,NeuralNetwork regression
0.11796649305555555,0.2371180555555555,-0.0,0.06980438275061533,Lasso regression
0.11610763888888886,0.23548611111111106,-0.0,0.06909771576851369,Lasso regression
0.10583016493055553,0.2214583333333333,-0.0,0.06574284240131377,Lasso regression
0.11525677083333331,0.23890624999999996,-0.0,0.07006257158952896,Lasso regression
0.11797051228654727,0.24229904206580588,-0.0,0.07128660612550344,Lasso regression
0.08982032486463974,0.2029820907955019,-0.0,0.059645427029485325,Lasso regression
0.10921216159933358,0.2236318200749687,-0.0,0.0654132360287401,Lasso regression
0.09787980008329862,0.21236151603498546,-0.0,0.06342956891210491,Lasso regression
0.09499208663057059,0.20688879633486043,-0.0,0.06048366123775552,Lasso regression
0.10714452311536858,0.21985839233652635,-0.0,0.06429675257243316,Lasso regression
0.03405329588900733,0.15696298738663786,-0.711330777011654,0.04556063517333427,Ridge regression
0.040788343611100626,0.17077941954510414,-0.6487023248303783,0.04915731395701589,Ridge regression
0.03888076440955459,0.16597097350381573,-0.6326116997448915,0.047981099925784955,Ridge regression
0.037149519174654595,0.16236715985861286,-0.6776803748182869,0.046879859765364774,Ridge regression
0.03918839564809423,0.16760465450599485,-0.6678119397082328,0.04854881537910197,Ridge regression
0.03400626654401302,0.151495117126061,-0.6213967540725236,0.0437257053543513,Ridge regression
