model,method,MSE,MAE,R2,MAPE
Decision tree regression,test,0.006927333333333321,0.021399999999999985,-0.8107900411025348,0.006857139779045376
Decision tree regression,train,0.0,0.0,-1.0,0.0
ElasticNet regression,test,0.1150832199448869,0.2341423752834466,0.3924330601519586,0.06886454824827565
ElasticNet regression,train,0.10721804762880911,0.22409904076426468,0.0,0.06592627644159939
Lasso regression,test,0.1150832199448869,0.2341423752834466,0.3924330601519586,0.06886454824827565
Lasso regression,train,0.10721804762880911,0.22409904076426468,0.0,0.06592627644159939
NeuralNetwork regression,test,0.5969985956794848,0.6455851505473014,28.81461686165866,0.18652021716217182
NeuralNetwork regression,train,0.44819037877807416,0.5493145506466124,3.224585979532276,0.15934100577284002
Ridge regression,test,0.045899796259961975,0.1770413256571151,0.7247982176898539,0.05106845385437671
Ridge regression,train,0.037390577499802964,0.16200671869838193,-0.6494096869035805,0.046777085446900235
SVR regression,test,0.017743057119489272,0.11611596848332731,-0.5383959620208604,0.03390825574986372
SVR regression,train,0.009880512354168586,0.09180590080952282,-0.9066383823901447,0.027000125972355765
linear regression,test,0.046083809980388454,0.17791076674794307,0.7830975380762645,0.05134880134225905
linear regression,train,0.03733559448742607,0.1623176715736207,-0.6499168981044136,0.046884080894275336
polynomial regression,test,0.052107401908799374,0.06779652451055894,1.320245969164738,0.02079667453225322
polynomial regression,train,1.6125172835246644e-26,9.528872400127715e-14,-1.0,2.7921095999972495e-14
